Player ID,Numer of times made above 95th % in Total Points,Numer of times made above 95th % in PPV,Average of value,Value<50,50<=Value<=100,100<Value
376,5,4,47.36111111,4,#N/A,#N/A
503,4,4,44.55555556,4,#N/A,#N/A
447,5,4,44.55555556,4,#N/A,#N/A
432,3,4,53.44444444,#N/A,4,#N/A
448,4,4,63.63888889,#N/A,4,#N/A
478,3,4,44.08333333,4,#N/A,#N/A
399,4,4,60.69444444,#N/A,4,#N/A
373,2,4,48.22222222,4,#N/A,#N/A
336,8,4,49.75,4,#N/A,#N/A
382,4,4,43.27777778,4,#N/A,#N/A
392,4,4,55.55555556,#N/A,4,#N/A
505,5,4,59.13888889,#N/A,4,#N/A
420,4,4,44.19444444,4,#N/A,#N/A
525,4,4,62.55555556,#N/A,4,#N/A
363,3,4,61.44444444,#N/A,4,#N/A
470,1,4,44.47222222,4,#N/A,#N/A
410,4,4,61.86111111,#N/A,4,#N/A
498,5,4,44.97222222,4,#N/A,#N/A
283,4,4,60,#N/A,4,#N/A
65,4,4,42.30555556,4,#N/A,#N/A
167,2,4,57.36111111,#N/A,4,#N/A
199,5,4,54.16666667,#N/A,4,#N/A
148,4,4,53.80555556,#N/A,4,#N/A
118,3,4,49.75,4,#N/A,#N/A
294,7,4,48.11111111,4,#N/A,#N/A
133,6,4,67.72222222,#N/A,4,#N/A
126,4,4,44.02777778,4,#N/A,#N/A
141,6,4,58.44444444,#N/A,4,#N/A
271,3,4,44.02777778,4,#N/A,#N/A
225,8,4,53.44444444,#N/A,4,#N/A
122,7,4,53.91666667,#N/A,4,#N/A
59,5,4,48.94444444,4,#N/A,#N/A
293,8,4,45.75,4,#N/A,#N/A
248,4,4,49.80555556,4,#N/A,#N/A
84,7,4,50.86111111,#N/A,4,#N/A
258,3,4,43.36111111,4,#N/A,#N/A
68,3,4,62,#N/A,4,#N/A
259,3,4,43.30555556,4,#N/A,#N/A
147,4,4,59.88888889,#N/A,4,#N/A
208,7,4,51.21052632,#N/A,4,#N/A
30,4,4,54.75,#N/A,4,#N/A
214,13,4,118.8684211,#N/A,#N/A,4
197,4,4,54.44444444,#N/A,4,#N/A
543,6,4,93.66666667,#N/A,4,#N/A
576,6,4,45,4,#N/A,#N/A
490,10,4,55.58823529,#N/A,4,#N/A
445,5,4,61.82857143,#N/A,4,#N/A
405,4,4,59.08571429,#N/A,4,#N/A
450,5,4,61.34285714,#N/A,4,#N/A
558,6,4,46.3125,4,#N/A,#N/A
461,8,4,50.30555556,#N/A,4,#N/A
497,4,4,49.11111111,4,#N/A,#N/A
465,4,4,61.44444444,#N/A,4,#N/A
363,3,4,45.22222222,4,#N/A,#N/A
466,4,4,52.11111111,#N/A,4,#N/A
540,4,4,58.91428571,#N/A,4,#N/A
468,5,4,66.41176471,#N/A,4,#N/A
556,13,4,58.66666667,#N/A,4,#N/A
353,4,4,47.61111111,4,#N/A,#N/A
483,4,4,47.22222222,4,#N/A,#N/A
500,6,4,82.70588235,#N/A,4,#N/A
306,12,4,95.39393939,#N/A,4,#N/A
298,8,4,54.42424242,#N/A,4,#N/A
287,6,4,69.05263158,#N/A,4,#N/A
120,9,4,69.05882353,#N/A,4,#N/A
181,3,4,53.32432432,#N/A,4,#N/A
37,9,4,75.38888889,#N/A,4,#N/A
81,7,4,53.2972973,#N/A,4,#N/A
125,4,4,45,4,#N/A,#N/A
217,8,4,54.82352941,#N/A,4,#N/A
106,4,4,58.97297297,#N/A,4,#N/A
224,8,4,101.2058824,#N/A,#N/A,4
