LogID,NumPages,WikiAccesses,NumWords
1417,7,0,0
1418,9,0,0
1419,24,0,0
142,154,0,0
1420,12,0,0
1421,46,0,0
1422,9,0,0
1423,23,0,0
1424,163,0,0
1425,6,0,0
1426,115,0,0
1427,6,0,0
1428,24,0,0
1429,25,0,0
143,81,0,0
1430,16,0,0
1431,1,0,0
1432,37,1,0
1433,18,0,0
1435,19,8,0
1436,9,0,0
1437,24,2,0
1438,47,0,0
1439,34,3,0
144,2,0,0
1440,32,0,0
1441,21,0,0
1443,124,0,0
1444,169,0,0
1445,15,0,0
1446,12,0,0
1447,90,0,0
1448,3,0,0
1449,16,0,0
1450,46,0,0
1451,2,0,0
1452,15,0,0
1453,32,0,0
1454,136,0,0
1455,8,0,0
1456,207,1,0
1457,4,0,0
1458,42,0,0
1459,25,0,0
146,1,0,0
1460,32,0,0
1461,2,0,0
1462,27,4,0
1463,16,1,0
1464,24,0,0
1465,25,4,0
1466,81,0,0
1467,46,0,0
1468,30,1,0
147,2,0,0
1470,2,0,0
1471,417,1,0
1472,44,1,0
1473,89,0,0
1474,110,5,0
1475,100,3,0
1476,238,2,0
1477,62,8,0
1478,192,4,0
1479,186,0,0
148,2,0,0
1480,36,0,0
1481,164,1,0
1482,158,4,0
1483,174,2,0
1484,105,4,0
1485,172,0,0
1486,239,0,0
1487,270,3,0
1488,109,0,0
1489,208,1,0
149,85,0,0
1490,130,0,0
1491,253,10,0
1492,118,2,0
1493,101,2,0
1494,210,3,0
1495,98,5,0
1496,150,2,0
1497,140,0,0
1498,125,3,0
1499,131,5,0
15,48,0,0
150,112,0,0
1500,257,0,0
1501,154,1,0
1502,99,6,0
1503,196,0,0
1504,276,3,0
1505,155,0,0
1506,173,2,0
1507,70,9,0
1508,142,0,0
1509,343,1,0
151,23,0,0
1510,14,1,0
1511,135,0,0
1512,207,0,0
1513,117,4,0
1514,91,0,0
1515,162,0,0
1516,188,10,0
1517,238,2,0
1518,9,0,0
1519,3,0,0
152,3,0,0
1520,99,12,0
1523,358,0,0
1524,209,10,0
1525,23,0,0
1526,252,0,0
1527,27,1,0
1528,262,0,0
1529,61,0,0
153,163,0,0
1530,241,0,0
1532,67,0,0
1533,199,1,0
1534,286,1,0
1535,82,2,0
1536,92,0,0
1538,187,0,0
1540,191,4,0
1541,383,2,0
1542,37,1,0
1545,42,0,0
1546,134,4,0
1547,79,0,0
1548,190,5,0
155,188,0,0
1550,91,0,0
1551,60,1,0
1552,141,1,0
1553,3,0,0
1554,136,0,0
1555,56,0,0
1556,59,0,0
1558,32,0,0
1559,102,0,0
156,230,0,0
1561,1,0,0
1562,5,0,0
1563,3,0,0
1566,49,0,0
1568,69,2,0
1569,12,0,0
157,105,1,0
